Vernier Format 2
glaL4_A_8.cmbl 09.04.2019 10:41:18 .
Latest
Wavelength	Intensity
λ	I
nm	rel

410.640069289	0.001
410.902595317	0.001
411.165112998	0.001
411.427622333	0.001
411.690123321	0.001
411.952615962	0.001
412.215100255	0.001
412.477576199	0.001
412.740043795	0.001
413.00250304	0.001
413.264953936	0.001
413.527396481	0.001
413.789830674	0.001
414.052256516	0.001
414.314674006	0.001
414.577083143	0.001
414.839483927	0.001
415.101876356	0.001
415.364260432	0.001
415.626636152	0.001
415.889003517	0.001
416.151362526	0.001
416.413713178	0.001
416.676055474	0.001
416.938389411	0.001
417.200714991	0.001
417.463032212	0.001
417.725341073	0.001
417.987641575	0.001
418.249933717	0.001
418.512217497	0.001
418.774492917	0.001
419.036759974	0.001
419.299018669	0.001
419.561269001	0.001
419.82351097	0.001
420.085744574	0.001
420.347969814	0.001
420.610186689	0.001
420.872395198	0.001
421.134595341	0.001
421.396787117	0.001
421.658970526	0.001
421.921145567	0.001
422.18331224	0.001
422.445470544	0.001
422.707620478	0.001
422.969762043	0.001
423.231895237	0.001
423.49402006	0.001
423.756136512	0.001
424.018244591	0.001
424.280344298	0.001
424.542435632	0.001
424.804518592	0.001
425.066593177	0.001
425.328659388	0.001
425.590717224	0.001
425.852766684	0.001
426.114807767	0.001
426.376840474	0.001
426.638864803	0.001
426.900880754	0.001
427.162888327	0.001
427.42488752	0.001
427.686878334	0.001
427.948860768	0.001
428.210834821	0.001
428.472800493	0.001
428.734757784	0.001
428.996706692	0.001
429.258647217	0.001
429.520579359	0.001
429.782503117	0.001
430.044418491	0.001
430.306325479	0.001
430.568224082	0.001
430.8301143	0.001
431.09199613	0.001
431.353869574	0.001
431.61573463	0.001
431.877591297	0.001
432.139439576	0.001
432.401279466	0.001
432.663110966	0.001
432.924934076	0.001
433.186748795	0.001
433.448555122	0.001
433.710353058	0.001
433.972142601	0.001
434.233923751	0.001
434.495696508	0.001
434.75746087	0.001
435.019216838	0.001
435.280964411	0.001
435.542703589	0.001
435.80443437	0.001
436.066156754	0.001
436.327870741	0.001
436.58957633	0.001
436.851273521	0.001
437.112962313	0.001
437.374642706	0.001
437.636314698	0.001
437.89797829	0.001
438.159633481	0.001
438.421280271	0.001
438.682918659	0.001
438.944548643	0.001
439.206170225	0.001
439.467783403	0.001
439.729388177	0.001
439.990984546	0.001
440.252572509	0.001
440.514152067	0.001
440.775723219	0.001
441.037285963	0.001
441.2988403	0.001
441.560386229	0.001
441.82192375	0.001
442.083452862	0.001
442.344973563	0.001
442.606485855	0.001
442.867989736	0.001
443.129485206	0.001
443.390972264	0.001
443.65245091	0.001
443.913921143	0.001
444.175382963	0.001
444.436836369	0.001
444.698281361	0.001
444.959717937	0.001
445.221146098	0.001
445.482565843	0.001
445.743977172	0.001
446.005380083	0.001
446.266774577	0.001
446.528160652	0.001
446.789538309	0.001
447.050907547	0.001
447.312268364	0.001
447.573620762	0.001
447.834964739	0.001
448.096300294	0.001
448.357627427	0.001
448.618946138	0.001
448.880256426	0.001
449.14155829	0.001
449.402851731	0.001
449.664136747	0.001
449.925413337	0.001
450.186681502	0.001
450.447941241	0.001
450.709192553	0.001
450.970435437	0.001
451.231669894	0.001
451.492895923	0.001
451.754113523	0.001
452.015322693	0.001
452.276523433	0.001
452.537715743	0.001
452.798899622	0.001
453.060075069	0.001
453.321242084	0.001
453.582400666	0.001
453.843550816	0.001
454.104692531	0.001
454.365825813	0.001
454.626950659	0.001
454.88806707	0.001
455.149175046	0.001
455.410274585	0.001
455.671365687	0.001
455.932448352	0.001
456.193522578	0.001
456.454588366	0.001
456.715645715	0.001
456.976694625	0.001
457.237735094	0.001
457.498767123	0.001
457.75979071	0.001
458.020805856	0.001
458.281812559	0.001
458.54281082	0.001
458.803800637	0.001
459.06478201	0.001
459.325754939	0.001
459.586719423	0.001
459.847675462	0.001
460.108623054	0.001
460.3695622	0.001
460.630492899	0.001
460.89141515	0.001
461.152328953	0.001
461.413234307	0.001
461.674131212	0.001
461.935019667	0.001
462.195899672	0.001
462.456771226	0.001
462.717634329	0.001
462.97848898	0.001
463.239335178	0.001
463.500172923	0.001
463.761002215	0.001
464.021823052	0.001
464.282635435	0.001
464.543439363	0.001
464.804234836	0.001
465.065021852	0.001
465.325800411	0.001
465.586570513	0.001
465.847332157	0.001
466.108085343	0.001
466.36883007	0.001
466.629566337	0.001
466.890294145	0.001
467.151013492	0.001
467.411724378	0.001
467.672426802	0.001
467.933120765	0.001
468.193806264	0.001
468.454483301	0.001
468.715151874	0.001
468.975811982	0.001
469.236463626	0.001
469.497106804	0.001
469.757741517	0.001
470.018367763	0.001
470.278985542	0.001
470.539594854	0.001
470.800195698	0.001
471.060788073	0.001
471.321371979	0.001
471.581947416	0.001
471.842514382	0.001
472.103072878	0.001
472.363622902	0.001
472.624164455	0.001
472.884697536	0.001
473.145222143	0.001
473.405738278	0.001
473.666245938	0.001
473.926745124	0.001
474.187235835	0.001
474.44771807	0.001
474.70819183	0.001
474.968657113	0.001
475.229113919	0.001
475.489562247	0.001
475.750002097	0.001
476.010433468	0.001
476.27085636	0.001
476.531270772	0.001
476.791676704	0.001
477.052074155	0.001
477.312463125	0.001
477.572843612	0.001
477.833215617	0.001
478.09357914	0.001
478.353934178	0.001
478.614280733	0.001
478.874618803	0.001
479.134948388	0.001
